"","orig.vote","dates","session","bill","tema","item","resultado","X","yea","nay","notInLegis","missing","Total","yea.","nay.","notInLegis.","missing.","Discrimination D1","Discrimination D2","Difficulty"
"1",6350,"2015-05-26","CD01O125E","PEC  Nº 182/2007 - EMENDA AGLUTINATIVA Nº 4","Sistema Eleitoral","Lista fechada: deputados e vereadores eleitos por lista definida pelo partido","rejeitado",6350,21,402,89,0,512,"4,1015625","78,515625","17,3828125","0",-0.128765729936801,0.00192067543987073,3.99556153000389
"2",6351,"2015-05-26","CD01O125E","PEC  Nº 182/2007 - EMENDA AGLUTINATIVA Nº 2","Sistema Eleitoral","Distrital Misto: metade dos deputados e vereadores e vereadores eleitos por lista e outra metade seria os mais votados em cada distrito","rejeitado",6351,99,368,45,0,512,"19,3359375","71875","8,7890625","0",-0.0087317301373303,-0.157008891085056,2.23114448774917
"3",6352,"2015-05-26","CD01O126E","PEC  Nº 182/2007 - ART. 1º DO SUBSTITUTIVO","Sistema Eleitoral","Distritão: elege os deputados mais votados nos estados e os vereadores mais votados nos municípios","rejeitado",6352,210,267,35,0,512,"41,015625","52,1484375","6,8359375","0",0.0508352316474359,0.115041674487364,1.92453363271238
"4",6354,"2015-05-26","CD01O126E","PEC  Nº 182/2007 - EMENDA AGLUTINATIVA Nº 22","Financiamento de campanha","Financiamento público e doação de empresas e pessoas físicas a candidatos e partidos","rejeitado",6354,264,207,41,0,512,"51,5625","40,4296875","8,0078125","0",0.209285362436157,0.132266594834485,0.730790216021018
"5",6356,"2015-05-27","CD01O128E","PEC  Nº 182/2007 - EMENDA AGLUTINATIVA Nº 10","Financiamento de campanha","Financiamento público e doações apenas de pessoas físicas","rejeitado",6356,164,240,108,0,512,"32,03125","46875","21,09375","0",-0.350711638768542,-0.187629548014022,0.991060414234256
"6",6357,"2015-05-27","CD01O128E","PEC  Nº 182/2007 - EMENDA AGLUTINATIVA Nº 32","Financiamento de campanha","Financiamento exclusivamente público","rejeitado",6357,56,343,113,0,512,"10,9375","66,9921875","22,0703125","0",-0.253700432822899,-0.024616921475181,2.55086045475903
"7",6358,"2015-05-27","CD01O128E","PEC  Nº 182/2007 - EMENDA AGLUTINATIVA Nº 28","Financiamento de campanha","Financiamento público e doações de empresas e pessoas físicas a partidos e pessoas físicas a candidatos","aprovado",6358,330,141,41,0,512,"64,453125","27,5390625","8,0078125","0",0.323502594903993,0.170552692758924,-1.36065522952544
"8",6360,"2015-05-28","CD01O131E","PEC  Nº 182/2007 - REQUERIMENTO DE PREFERÊNCIA PARA A EMENDA AGLUTINATIVA Nº 40","Duração dos mandatos","Mandato de 5 anos para deputados, prefeitos e governadores, com início em primeiro de janeiro","rejeitado",6360,38,219,255,0,512,"7,421875","42,7734375","49,8046875","0",-0.184335709966598,-0.0545902372459451,4.38221248188566
"9",6362,"2015-05-28","CD01O131E","PEC  Nº 182/2007 - DTQ 18 - PSDB - ART. 1º DA PEC 14/2015","Fim das coligações","Proíbe as coligações para eleições proporcionais: deputados e vereadores","rejeitado",6362,206,236,70,0,512,"40,234375","46,09375","13,671875","0",0.0044374555078377,-0.141618838254307,0.499144522486153
"10",6368,"2015-06-10","CD01O147E","PEC  Nº 182/2007 - DTQ 27 - PMDB - PREFERÊNCIA PARA A PEC 444/2014","Voto facultativo","PEC apensada – alistamento eleitoral e voto facultativo","rejeitado",6368,114,268,129,1,512,"22,265625","52,34375","25,1953125","0,1953125",0.106031138916771,0.0161549062135727,4.27944465313101
"11",6369,"2015-06-10","CD01O147E","PEC  Nº 182/2007 - ARTIGO 8º DO SUBSTITUTIVO  - VOTO FACULTATIVO","Voto facultativo","Voto facultativo para todas as eleições","rejeitado",6369,134,311,66,1,512,"26,171875","60,7421875","12,890625","0,1953125",-0.0270099783837153,-0.130340914945146,3.26484768813274
"12",6370,"2015-06-10","CD01O147E","PEC  Nº 182/2007 - EMENDA AGLUTINATIVA Nº 48","Duração dos mandatos","Mandato de 5 anos para todos os cargos, inclusive senador, a partir de 2020 e regras de transição","aprovado",6370,348,110,53,1,512,"67,96875","21,484375","10,3515625","0,1953125",0.153131482896807,0.0820263106717387,-0.51901657948856
"13",6371,"2015-06-10","CD01O148E","PEC  Nº 182/2007 - EMENDA AGLUTINATIVA Nº 54","Coincidência das eleições","Eleições municipais e gerais em um único ano","rejeitado",6371,220,225,66,1,512,"42,96875","43,9453125","12,890625","0,1953125",0.307286766565301,0.209992682884785,2.10270110502683
"14",6379,"2015-06-16","CD01O157E","PEC  Nº 182/2007 - ARTIGO 14 DO SUBSTITUTIVO - FEDERAÇÃO PARTIDÁRIA","Federação partidária","Federação partidária","rejeitado",6379,157,277,78,0,512,"30,6640625","54,1015625","15,234375","0",-0.0236076928133422,0.0017199743918671,-0.111160693774183
"15",6380,"2015-06-16","CD01O157E","PEC  Nº 182/2007 - DTQ 3 -  PPS - EMENDA Nº 8","Perda de mandato","Perda de mandato de deputado ou senador que assumir cargo de ministro de Estado, secretário ou chefe de missão diplomática","rejeitado",6380,60,357,95,0,512,"11,71875","69,7265625","18,5546875","0",-0.204369486145265,-0.216806820878479,4.4753620784684
"16",6384,"2015-06-17","CD01O161E","PEC Nº 182/2007 - EMENDA AGLUTINATIVA Nº 29","Janela para desfiliação","Janela de 30 dias para migração entre partidos","aprovado",6384,NA,NA,NA,NA,NA,"","","","",0.132578646767553,0.178806948687348,0.396744619796837
"17",6385,"2015-06-17","CD01O161E","PEC Nº 182/2007 - DTQ 30 -PSD - EMENDA Nº 7","Registro de propostas","Obriga os candidatos a registrarem suas propostas na Justiça Eleitoral","rejeitado",6385,NA,NA,NA,NA,NA,"","","","",-0.0671565551962244,-0.179715685255561,1.45761906690828
