name,vote.6350,vote.6351,vote.6352,vote.6354,vote.6356,vote.6357,vote.6358,vote.6359,vote.6360,vote.6362,vote.6363,vote.6368,vote.6369,vote.6370,vote.6371,vote.6372,vote.6373,vote.6374,vote.6375,vote.6377,vote.6378,vote.6379,vote.6380,vote.6381,vote.6382,vote.6384,vote.6385,vote.6386
Bloco PMDB,2,2,1,1,2,2,1,1,2,2,1,1,8,8,8,1,1,1,1,8,1,8,2,2,1,1,2,2
Bloco PRB,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,1,8,8,1,8,1,2,2,2,1,1,2,2
DEM,2,8,1,1,3,2,1,1,2,8,1,8,1,2,8,1,1,1,1,8,1,8,2,2,1,8,2,2
PCdoB,1,2,1,2,1,1,2,1,2,2,1,2,2,2,2,1,1,1,1,1,1,1,2,2,1,2,2,2
PDT,2,2,2,2,1,1,2,1,2,8,1,2,2,1,8,1,1,8,1,1,1,2,2,2,1,1,5,2
PPS,2,1,2,2,1,2,2,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,2
PR,2,2,2,1,2,2,1,1,2,2,1,2,2,1,1,1,1,8,1,1,1,8,2,2,1,1,2,2
PROS,2,8,8,8,2,2,1,1,2,8,1,2,2,1,1,1,8,8,1,8,1,1,2,2,1,1,5,2
PSB,2,2,2,8,8,2,8,1,2,1,8,2,2,1,1,1,1,8,1,8,1,2,8,2,1,8,5,2
PSD,2,2,8,1,2,2,1,1,2,1,1,8,2,1,8,1,8,1,1,1,1,1,2,2,1,2,1,2
PSDB,2,1,8,1,3,2,1,1,2,1,5,2,2,1,2,1,8,1,1,8,1,2,2,2,1,8,5,2
PSOL,2,2,2,2,1,1,5,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2
PT,2,2,2,2,1,3,2,1,1,2,1,2,2,1,2,1,1,1,1,1,1,8,2,2,8,8,2,2
PV,8,1,2,2,8,2,1,1,2,2,1,1,1,8,8,1,8,8,1,1,1,2,2,2,8,2,2,2
SD,2,2,1,1,2,3,1,1,2,2,1,2,2,1,1,1,1,1,1,8,1,1,2,2,1,1,5,2
