id,name,party,state,vote.6350,vote.6351,vote.6352,vote.6354,vote.6356,vote.6357,vote.6358,vote.6359,vote.6360,vote.6362,vote.6363,vote.6368,vote.6369,vote.6370,vote.6371,vote.6372,vote.6373,vote.6374,vote.6375,vote.6377,vote.6378,vote.6379,vote.6380,vote.6381,vote.6382,vote.6384,vote.6385,vote.6386
1,ABEL MESQUITA JR ,PDT,RR,4,2,2,1,1,2,1,1,4,4,4,4,2,1,1,1,1,1,1,1,1,2,4,2,1,1,5,2
2,EDIO LOPES,PMDB,RR,4,2,1,1,2,2,1,1,4,4,4,2,2,1,1,1,1,2,4,2,1,2,2,2,1,1,2,4
3,CARLOS ANDRADE,PHS,RR,2,2,1,1,2,2,1,4,4,2,1,2,2,1,2,1,1,1,1,2,4,2,4,4,1,1,1,4
4,HIRAN GONCALVES,PMN,RR,2,2,1,2,2,2,1,1,4,4,4,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,2
5,JHONATAN DE JESUS,PRB,RR,2,2,2,2,4,2,1,1,2,2,1,4,2,2,1,1,1,1,1,4,4,4,4,4,4,4,4,4
6,MARIA HELENA,PSB,RR,2,2,2,1,1,2,1,1,4,4,4,2,2,1,1,1,1,2,1,1,1,2,2,2,1,1,5,2
7,REMIDIO MONAI,PR,RR,2,2,2,1,2,2,1,1,4,2,1,2,2,1,1,1,1,1,1,2,1,2,4,2,1,1,2,2
8,SHERIDAN,PSDB,RR,2,1,1,1,3,2,1,1,4,3,1,4,4,4,4,4,4,4,4,1,1,2,2,2,1,2,5,2
9,ANDRE ABDON,PRB,AP,2,2,2,2,2,2,1,1,2,2,1,4,2,2,2,1,1,1,1,2,1,2,2,4,1,1,4,2
10,JANETE CAPIBERIBE,PSB,AP,2,2,2,2,1,1,2,1,2,1,1,2,2,1,1,1,1,1,4,1,1,3,3,2,3,3,5,2
11,JOZI ROCHA,PTB,AP,2,2,1,1,4,2,1,1,4,2,1,1,2,1,1,1,4,1,1,1,1,2,2,2,1,1,2,2
12,MARCOS REATEGUI,PSC,AP,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,2,1,1,3,1,2,2,4,1,1,1,4
14,CABUCU BORGES,PMDB,AP,2,2,1,1,2,2,1,1,4,2,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,1,2,2
15,PROFESSORA MARCIVANIA,PT,AP,2,2,2,2,1,3,2,1,4,2,1,4,2,1,2,1,1,1,1,1,1,1,2,2,1,2,1,2
16,VINICIUS GURGEL,PR,AP,2,2,2,1,4,4,1,1,4,2,1,4,2,1,2,4,4,4,1,2,4,2,4,4,4,1,4,2
17,ROBERTO GOES,PDT,AP,2,2,2,2,1,2,1,2,4,2,1,2,2,1,1,1,4,4,4,1,1,2,2,2,1,1,5,2
18,ARNALDO JORDY,PPS,PA,2,1,2,2,1,2,2,1,4,4,1,2,1,2,2,1,1,4,1,1,1,1,1,2,1,2,1,4
19,BETO FARO,PT,PA,2,2,2,2,1,1,2,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,2,2
20,BETO SALAME,PROS,PA,2,1,2,2,1,2,2,1,2,2,1,2,2,1,1,4,1,1,1,1,1,1,4,4,1,1,5,2
21,ELCIONE BARBALHO,PMDB,PA,2,2,1,2,2,1,2,1,2,2,1,4,4,4,4,4,4,4,4,1,4,3,2,2,1,1,2,4
22,DELEGADO EDER MAURO,PSD,PA,2,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,2,1,1,1,1,1,2,2,1,2,1,2
23,WLADIMIR COSTA,Solidarie,PA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
25,ZE GERALDO,PT,PA,4,2,2,2,1,3,2,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,2,2,2,1,4,2
26,JOSE PRIANTE,PMDB,PA,2,2,1,4,2,2,4,4,4,4,4,1,2,1,2,1,4,4,4,1,4,2,4,4,4,1,2,4
27,EDMILSON RODRIGUES,PSOL,PA,2,2,2,2,1,4,5,1,4,1,1,2,2,1,2,1,1,1,1,1,1,4,1,2,1,2,1,2
28,FRANCISCO CHAPADINHA,PSD,PA,4,4,4,4,4,4,4,4,4,4,4,2,2,1,2,1,1,1,1,1,1,1,2,2,1,2,1,2
29,LUCIO VALE,PR,PA,2,2,2,1,2,2,1,1,2,2,1,2,2,1,2,1,1,1,1,2,1,2,2,2,1,2,2,2
30,JOSUE BENGTSON,PTB,PA,2,2,1,1,2,4,1,1,4,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,2,4
31,NILSON PINTO,PSDB,PA,2,1,1,1,3,2,1,1,2,1,1,2,1,1,2,1,1,1,1,2,1,2,2,2,1,1,5,2
32,HELIO LEITE,DEM,PA,2,2,2,1,3,4,1,2,4,2,1,4,1,2,2,1,1,1,1,2,4,2,2,2,3,2,2,2
33,JOAQUIM PASSARINHO,PSD,PA,2,2,2,1,2,2,1,1,2,1,1,2,2,1,2,2,1,1,1,1,1,2,2,2,1,2,1,2
34,JULIA MARINHO,PSC,PA,4,4,4,4,2,2,1,1,4,2,1,4,1,1,1,1,2,2,1,1,1,2,2,2,1,1,2,2
35,SIMONE MORGADO,PMDB,PA,4,1,2,2,1,2,2,1,4,1,1,4,2,1,1,1,1,1,4,1,1,2,1,2,1,2,2,2
36,ALFREDO NASCIMENTO,PR,AM,2,2,2,1,2,2,1,1,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
37,ARTHUR VIRGILIO BISNETO,PSDB,AM,2,1,1,1,3,2,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,2,2,2,1,1,5,4
38,ATILA LINS,PSD,AM,4,4,4,4,2,2,1,1,4,1,1,4,4,4,1,1,1,1,1,2,1,2,4,4,1,1,2,2
39,SILAS CAMARA,PSD,AM,2,2,2,1,2,2,1,1,4,1,1,1,2,1,1,1,1,1,1,3,1,1,2,2,3,1,1,2
40,PAUDERNEY AVELINO,DEM,AM,2,2,1,1,3,2,1,1,4,2,1,1,1,2,2,4,2,2,1,3,1,2,2,2,4,1,4,4
41,CONCEICAO SAMPAIO,PP,AM,2,2,1,2,1,1,1,1,2,2,1,4,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2
42,HISSA ABRAHAO,PPS,AM,2,1,2,2,1,2,2,1,2,1,1,2,1,2,2,1,1,4,1,1,1,1,1,2,1,1,1,2
43,MARCOS ROTTA,PMDB,AM,2,2,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2
44,EXPEDITO NETTO,Solidarie,RO,2,2,2,1,2,3,1,1,4,2,1,2,2,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4
