"","xD1","xD2","sdD1","sdD2","lowerD1","upperD1","lowerD2","upperD2"
"Bloco PMDB",-0.244926972773845,-1.17595299908674,7.23498030228734,5.25062876316656,-14.6137250863458,11.7663727900693,-10.8020342723124,8.52963906529259
"Bloco PRB",0.529566850366578,-0.0262320397887165,1.8710456299749,1.67351124433837,-2.93088320803374,3.91252681680202,-3.4658594206131,3.18428844178772
"DEM",0.9599972931105,-1.49585914394405,7.19945139307845,5.69413093359236,-12.2572545678284,13.4390614751287,-10.5426334509621,10.1895474400083
"PCdoB",1.35021565127895,1.06116123741606,5.94314696596689,4.45211189866226,-10.0108637797879,11.9765141543259,-8.05033827197088,8.97954111115352
"PDT",-0.0911956328933383,1.02093696986556,4.60173847734712,3.50388985374727,-8.20980818355189,8.52861819004108,-5.53083987557759,7.14552142687064
"PPS",1.56415306106564,0.329120929241098,4.5982078629105,3.81985734951336,-7.73195221426976,9.73511648227336,-7.67491672004613,6.88036887538403
"PR",-0.962786423301596,-0.4211006714847,5.22446834311702,3.98729281447203,-9.89695323828534,10.3871871823773,-7.85429105315395,7.44119565495267
"PROS",-1.13282519503332,-0.325395624374026,5.57794282466131,4.32039903526455,-11.8564987537751,9.26752185684925,-7.75342346781925,9.38758802441903
"PSB",-1.15714962890202,-0.399332850711747,5.42502190493386,4.35545188887381,-11.3849030507812,9.14437726157907,-8.59844998179878,7.73225616075413
"PSD",-0.984231229849261,-0.545393819514008,5.89803241247173,4.467690983059,-12.4469998403252,10.5847472839913,-8.70999541526887,8.95174094528285
"PSDB",-0.0266824658121043,-0.392950569963547,2.5525781258241,2.23339574452093,-5.07789380095962,4.72395398402185,-4.54958525707412,4.1125775613081
"PSOL",-0.305019649297656,1.84587340688124,6.95870267099656,5.67302218465655,-13.357224542349,11.2896401167293,-9.01328025790964,11.3613607819673
"PT",-0.167616001949187,1.74706166403866,6.69694591037199,5.30828652825846,-10.7411817678904,12.5766155656526,-9.18912603890248,10.1519268946613
"PV",1.6752859215153,-0.63906562517798,5.89609920908913,5.27491379893897,-9.84539737063853,12.3672690793302,-9.35212979455387,9.56185433851808
"SD",-1.00678557752464,-0.582870863397099,5.72970293068472,4.55022291577022,-11.5377266900935,9.81135307604222,-8.76398005534826,9.5662760264671
