"","Mean","2.5%","97.5%"
"DEM: Dimension 1",-1.21481133082744,-2.11542313450471,0.0790864818554448
"PCdoB: Dimension 1",0.405967981188724,0.199771102381026,0.650174985605064
"PDT: Dimension 1",1.08475351055875,-0.262346703546021,1.76910486164169
"PEN: Dimension 1",-1.04314281878178,-1.16847057083311,-0.917815066730451
"PHS: Dimension 1",-0.351013081545381,-0.733928752682117,0.00669641005322163
"PMDB: Dimension 1",-0.634311806565203,-2.00258621292973,1.01835678958466
"PMN: Dimension 1",-0.345981921937478,-0.5469095756244,0.00686885404646604
"PP: Dimension 1",-0.415772854889119,-1.61980455914104,0.902780845239829
"PPS: Dimension 1",0.219220188697396,0.0793006894232333,0.694059223410887
"PR: Dimension 1",0.0368436446206278,-0.492883721981585,0.978198332528277
"PRB: Dimension 1",-0.299553326921865,-0.575645672569148,0.328436259376674
"PROS: Dimension 1",0.395549377746931,-0.814611247152663,1.10113858303807
"PRP: Dimension 1",-0.369779952498328,-0.58075201863909,-0.25065170827663
"PRTB: Dimension 1",-0.0210891719219178,-0.0210891719219178,-0.0210891719219178
"PSB: Dimension 1",0.583826465980352,-0.620901973877886,1.54143818334326
"PSC: Dimension 1",-0.523830437295523,-1.16652233425808,0.138578357646114
"PSD: Dimension 1",-0.329117424934762,-1.38016704559153,0.948649460280283
"PSDB: Dimension 1",-0.438803699097862,-1.52840016378923,0.277220771886264
"PSDC: Dimension 1",-1.10512859976029,-1.71737351396774,-0.492883685552836
"PSL: Dimension 1",0.173299485172574,0.173299485172574,0.173299485172574
"PSOL: Dimension 1",1.81994183797598,1.56585804075887,2.03783100549034
"PT: Dimension 1",1.71217136309004,1.20785485912982,2.06165248616339
"PTB: Dimension 1",-0.963104155140355,-1.74526268980242,0.092799739232604
"PTC: Dimension 1",-0.144969794496818,-0.21861334873954,-0.0713262402540962
"PTdoB: Dimension 1",-0.166842506650419,-0.486772735440518,0.15308772213968
"PTN: Dimension 1",-0.0243098025220395,-0.841450058346452,0.735151848854505
"PV: Dimension 1",0.0594438537131559,-0.870373123323334,0.703765293783926
"Solidarie: Dimension 1",-0.309486431905169,-1.16405407607335,0.474420828188429
"DEM: Dimension 2",-0.839121360919625,-1.97188033262277,0.595426488358124
"PCdoB: Dimension 2",-2.41115077595392,-2.64183750190376,-1.95700843810601
"PDT: Dimension 2",-0.0416005656747954,-1.24912104064993,1.0245461912338
"PEN: Dimension 2",1.00456399302891,0.830512261995372,1.17861572406245
"PHS: Dimension 2",0.291628308223041,-0.0941792120538996,0.44875112390589
"PMDB: Dimension 2",0.481100517940108,-1.21511800254532,1.38214333021355
"PMN: Dimension 2",-0.507337654942851,-1.36662470426304,0.996667803160818
"PP: Dimension 2",0.520928813382493,-1.79659021465459,1.41388436349508
"PPS: Dimension 2",-1.86490771425862,-2.30332975230183,-1.7220270424512
"PR: Dimension 2",0.650882381894535,-0.550732409765194,1.17753423378152
"PRB: Dimension 2",-0.826660044484495,-1.57082054925705,0.582491920515538
"PROS: Dimension 2",-0.238184839637103,-2.18274868943891,0.964146165547376
"PRP: Dimension 2",0.224117127325473,-1.34235903424267,1.61595591792931
"PRTB: Dimension 2",0.191174370417618,0.191174370417618,0.191174370417618
"PSB: Dimension 2",0.630176268388861,-0.721299350029532,1.72007121019229
"PSC: Dimension 2",0.0235977414936708,-1.36037982893199,1.11690128763564
"PSD: Dimension 2",0.484859627908997,-1.05421533660303,1.37867242215841
"PSDB: Dimension 2",0.0368560078861915,-1.61451575512986,1.31482818463865
"PSDC: Dimension 2",-1.62181670007767,-1.99897421151955,-1.24465918863579
"PSL: Dimension 2",0.225202185061557,0.225202185061557,0.225202185061557
"PSOL: Dimension 2",-0.347139200207031,-0.432695939009409,-0.260932441691833
"PT: Dimension 2",-0.398735729436142,-1.32754445773722,0.512108529975159
"PTB: Dimension 2",0.344568802071182,-1.13968570696177,1.47701246782197
"PTC: Dimension 2",-1.37747193702979,-1.64100518754054,-1.11393868651904
"PTdoB: Dimension 2",-0.740915047684926,-1.37495881587605,-0.106871279493805
"PTN: Dimension 2",-1.19479092598388,-1.71656813413236,-0.384365791169607
"PV: Dimension 2",-0.0390924416792532,-0.851139371137653,1.03630224494309
"Solidarie: Dimension 2",0.321157500612598,-1.81502019745385,1.11882974790731
