,party,vote,item,variable,value
1,PMDB,vote.6350,Lista fechada: deputados e vereadores eleitos por lista definida pelo partido,Sim,2
2,PMDB,vote.6351,Distrital Misto: metade dos deputados e vereadores e vereadores eleitos por lista e outra metade seria os mais votados em cada distrito,Sim,8
3,PMDB,vote.6352,Distritão: elege os deputados mais votados nos estados e os vereadores mais votados nos municípios,Sim,48
4,PMDB,vote.6354,Financiamento público e doação de empresas e pessoas físicas a candidatos e partidos,Sim,46
5,PMDB,vote.6356,Financiamento público e doações apenas de pessoas físicas,Sim,8
6,PMDB,vote.6357,Financiamento exclusivamente público,Sim,5
7,PMDB,vote.6358,Financiamento público e doações de empresas e pessoas físicas a partidos e pessoas físicas a candidatos,Sim,56
8,PMDB,vote.6359,"Fim da reeleição para governadores, prefeitos e presidente da República",Sim,57
9,PMDB,vote.6360,"Mandato de 5 anos para deputados, prefeitos e governadores, com início em primeiro de janeiro",Sim,1
10,PMDB,vote.6362,Proíbe as coligações para eleições proporcionais: deputados e vereadores,Sim,37
11,PMDB,vote.6363,Limita o acesso ao fundo e ao tempo de TV a partidos com representação,Sim,50
12,PMDB,vote.6368,PEC apensada  alistamento eleitoral e voto facultativo,Sim,39
13,PMDB,vote.6369,Voto facultativo para todas as eleições,Sim,30
14,PMDB,vote.6370,"Mandato de 5 anos para todos os cargos, inclusive senador, a partir de 2020 e regras de transição",Sim,49
15,PMDB,vote.6371,Eleições municipais e gerais em um único ano,Sim,45
16,PMDB,vote.6372,Mandato de 4 anos para prefeitos e vereadores eleitos em 2016,Sim,49
17,PMDB,vote.6373,idade mínima de 18 anos,Sim,44
18,PMDB,vote.6374,Redução da idade mínima para 29 anos,Sim,48
19,PMDB,vote.6375,4 de janeiro para governadores e 5 para presidente,Sim,51
20,PMDB,vote.6377,Cotas para mulheres no legislativo,Sim,39
21,PMDB,vote.6378,"Voto impresso, fidelidade partidária, iniciativa popular e mandatos das mesas",Sim,50
22,PMDB,vote.6379,Federação partidária,Sim,16
23,PMDB,vote.6380,"Perda de mandato de deputado ou senador que assumir cargo de ministro de Estado, secretário ou chefe de missão diplomática",Sim,12
24,PMDB,vote.6381,Senador vitalício e voto em trânsito para todos os cargos,Sim,0
25,PMDB,vote.6382,Permite policial militar ou bombeiro retornar a suas funções se não for reeleito,Sim,50
26,PMDB,vote.6384,Janela de 30 dias para migração entre partidos,Sim,49
27,PMDB,vote.6385,Obriga os candidatos a registrarem suas propostas na Justiça Eleitoral,Sim,8
28,PMDB,vote.6386,"Permite ao candidato disputar, simultaneamente, eleições majoritárias e proporcionais",Sim,0
29,PT,vote.6350,Lista fechada: deputados e vereadores eleitos por lista definida pelo partido,Sim,3
30,PT,vote.6351,Distrital Misto: metade dos deputados e vereadores e vereadores eleitos por lista e outra metade seria os mais votados em cada distrito,Sim,0
31,PT,vote.6352,Distritão: elege os deputados mais votados nos estados e os vereadores mais votados nos municípios,Sim,0
32,PT,vote.6354,Financiamento público e doação de empresas e pessoas físicas a candidatos e partidos,Sim,0
33,PT,vote.6356,Financiamento público e doações apenas de pessoas físicas,Sim,62
34,PT,vote.6357,Financiamento exclusivamente público,Sim,12
35,PT,vote.6358,Financiamento público e doações de empresas e pessoas físicas a partidos e pessoas físicas a candidatos,Sim,0
36,PT,vote.6359,"Fim da reeleição para governadores, prefeitos e presidente da República",Sim,59
37,PT,vote.6360,"Mandato de 5 anos para deputados, prefeitos e governadores, com início em primeiro de janeiro",Sim,31
38,PT,vote.6362,Proíbe as coligações para eleições proporcionais: deputados e vereadores,Sim,16
39,PT,vote.6363,Limita o acesso ao fundo e ao tempo de TV a partidos com representação,Sim,57
40,PT,vote.6368,PEC apensada  alistamento eleitoral e voto facultativo,Sim,0
41,PT,vote.6369,Voto facultativo para todas as eleições,Sim,0
42,PT,vote.6370,"Mandato de 5 anos para todos os cargos, inclusive senador, a partir de 2020 e regras de transição",Sim,62
43,PT,vote.6371,Eleições municipais e gerais em um único ano,Sim,6
44,PT,vote.6372,Mandato de 4 anos para prefeitos e vereadores eleitos em 2016,Sim,56
45,PT,vote.6373,idade mínima de 18 anos,Sim,49
46,PT,vote.6374,Redução da idade mínima para 29 anos,Sim,47
47,PT,vote.6375,4 de janeiro para governadores e 5 para presidente,Sim,37
48,PT,vote.6377,Cotas para mulheres no legislativo,Sim,56
49,PT,vote.6378,"Voto impresso, fidelidade partidária, iniciativa popular e mandatos das mesas",Sim,50
50,PT,vote.6379,Federação partidária,Sim,48
51,PT,vote.6380,"Perda de mandato de deputado ou senador que assumir cargo de ministro de Estado, secretário ou chefe de missão diplomática",Sim,3
52,PT,vote.6381,Senador vitalício e voto em trânsito para todos os cargos,Sim,0
53,PT,vote.6382,Permite policial militar ou bombeiro retornar a suas funções se não for reeleito,Sim,34
54,PT,vote.6384,Janela de 30 dias para migração entre partidos,Sim,25
55,PT,vote.6385,Obriga os candidatos a registrarem suas propostas na Justiça Eleitoral,Sim,2
56,PT,vote.6386,"Permite ao candidato disputar, simultaneamente, eleições majoritárias e proporcionais",Sim,0
57,PSDB,vote.6350,Lista fechada: deputados e vereadores eleitos por lista definida pelo partido,Sim,0
58,PSDB,vote.6351,Distrital Misto: metade dos deputados e vereadores e vereadores eleitos por lista e outra metade seria os mais votados em cada distrito,Sim,48
59,PSDB,vote.6352,Distritão: elege os deputados mais votados nos estados e os vereadores mais votados nos municípios,Sim,21
60,PSDB,vote.6354,Financiamento público e doação de empresas e pessoas físicas a candidatos e partidos,Sim,46
61,PSDB,vote.6356,Financiamento público e doações apenas de pessoas físicas,Sim,0
62,PSDB,vote.6357,Financiamento exclusivamente público,Sim,0
63,PSDB,vote.6358,Financiamento público e doações de empresas e pessoas físicas a partidos e pessoas físicas a candidatos,Sim,46
64,PSDB,vote.6359,"Fim da reeleição para governadores, prefeitos e presidente da República",Sim,45
65,PSDB,vote.6360,"Mandato de 5 anos para deputados, prefeitos e governadores, com início em primeiro de janeiro",Sim,0
66,PSDB,vote.6362,Proíbe as coligações para eleições proporcionais: deputados e vereadores,Sim,43
67,PSDB,vote.6363,Limita o acesso ao fundo e ao tempo de TV a partidos com representação,Sim,13
68,PSDB,vote.6368,PEC apensada  alistamento eleitoral e voto facultativo,Sim,2
69,PSDB,vote.6369,Voto facultativo para todas as eleições,Sim,18
70,PSDB,vote.6370,"Mandato de 5 anos para todos os cargos, inclusive senador, a partir de 2020 e regras de transição",Sim,34
71,PSDB,vote.6371,Eleições municipais e gerais em um único ano,Sim,8
72,PSDB,vote.6372,Mandato de 4 anos para prefeitos e vereadores eleitos em 2016,Sim,47
73,PSDB,vote.6373,idade mínima de 18 anos,Sim,31
74,PSDB,vote.6374,Redução da idade mínima para 29 anos,Sim,43
75,PSDB,vote.6375,4 de janeiro para governadores e 5 para presidente,Sim,43
76,PSDB,vote.6377,Cotas para mulheres no legislativo,Sim,22
77,PSDB,vote.6378,"Voto impresso, fidelidade partidária, iniciativa popular e mandatos das mesas",Sim,49
78,PSDB,vote.6379,Federação partidária,Sim,0
79,PSDB,vote.6380,"Perda de mandato de deputado ou senador que assumir cargo de ministro de Estado, secretário ou chefe de missão diplomática",Sim,10
80,PSDB,vote.6381,Senador vitalício e voto em trânsito para todos os cargos,Sim,0
81,PSDB,vote.6382,Permite policial militar ou bombeiro retornar a suas funções se não for reeleito,Sim,40
82,PSDB,vote.6384,Janela de 30 dias para migração entre partidos,Sim,36
83,PSDB,vote.6385,Obriga os candidatos a registrarem suas propostas na Justiça Eleitoral,Sim,2
84,PSDB,vote.6386,"Permite ao candidato disputar, simultaneamente, eleições majoritárias e proporcionais",Sim,0
85,PP,vote.6350,Lista fechada: deputados e vereadores eleitos por lista definida pelo partido,Sim,0
86,PP,vote.6351,Distrital Misto: metade dos deputados e vereadores e vereadores eleitos por lista e outra metade seria os mais votados em cada distrito,Sim,3
87,PP,vote.6352,Distritão: elege os deputados mais votados nos estados e os vereadores mais votados nos municípios,Sim,34
88,PP,vote.6354,Financiamento público e doação de empresas e pessoas físicas a candidatos e partidos,Sim,26
89,PP,vote.6356,Financiamento público e doações apenas de pessoas físicas,Sim,6
90,PP,vote.6357,Financiamento exclusivamente público,Sim,4
91,PP,vote.6358,Financiamento público e doações de empresas e pessoas físicas a partidos e pessoas físicas a candidatos,Sim,32
92,PP,vote.6359,"Fim da reeleição para governadores, prefeitos e presidente da República",Sim,34
93,PP,vote.6360,"Mandato de 5 anos para deputados, prefeitos e governadores, com início em primeiro de janeiro",Sim,1
94,PP,vote.6362,Proíbe as coligações para eleições proporcionais: deputados e vereadores,Sim,12
95,PP,vote.6363,Limita o acesso ao fundo e ao tempo de TV a partidos com representação,Sim,24
96,PP,vote.6368,PEC apensada  alistamento eleitoral e voto facultativo,Sim,21
97,PP,vote.6369,Voto facultativo para todas as eleições,Sim,8
